"FILE_ID";"VARIANT_ID";"VARIANT_CORR";"PARTNUMBER";"NAME";"LONGDESCRIPTION";"CATEGORY_CODE";"BRAND";"STATUS";"PRICE";"ORIGIN_PRICE";"SYNC";"SELLER_ID";"PRODUCT_SKU";"PRODUCT_SKU_PARENT"
"61924";"E74010000-NEGRO";"0";"2000|E74010000-NEGRO";"E74010000-NEGRO";"E74010000-NEGRO";"yolo";"CMCL";"E";"30";"35";"0";"2000";"PMP900000010000";""
"61924";"E74010001-NEGRO";"0";"2000|E74010001-NEGRO";"E74010001-NEGRO";"E74010001-NEGRO";"yolo";"CMCL";"E";"68";"73";"0";"2000";"PMP900000010001";""
"61924";"E74010002-NEGRO";"0";"2000|E74010002-NEGRO";"E74010002-NEGRO";"E74010002-NEGRO";"yolo";"CMCL";"E";"77";"82";"0";"2000";"PMP900000010002";""
"61924";"E74010003-NEGRO";"0";"2000|E74010003-NEGRO";"E74010003-NEGRO";"E74010003-NEGRO";"yolo";"CMCL";"E";"94";"99";"0";"2000";"PMP900000010003";""
"61924";"E74010004-NEGRO";"0";"2000|E74010004-NEGRO";"E74010004-NEGRO";"E74010004-NEGRO";"yolo";"CMCL";"E";"202";"207";"0";"2000";"PMP900000010004";""
"61924";"E74010005-NEGRO";"0";"2000|E74010005-NEGRO";"E74010005-NEGRO";"E74010005-NEGRO";"yolo";"CMCL";"E";"157";"162";"0";"2000";"PMP900000010005";""
"61924";"E74010006-NEGRO";"0";"2000|E74010006-NEGRO";"E74010006-NEGRO";"E74010006-NEGRO";"yolo";"CMCL";"E";"63";"68";"0";"2000";"PMP900000010006";""
"61924";"E74010007-NEGRO";"0";"2000|E74010007-NEGRO";"E74010007-NEGRO";"E74010007-NEGRO";"yolo";"CMCL";"E";"31";"36";"0";"2000";"PMP900000010007";""
"61924";"E74010008-NEGRO";"0";"2000|E74010008-NEGRO";"E74010008-NEGRO";"E74010008-NEGRO";"yolo";"CMCL";"E";"222";"227";"0";"2000";"PMP900000010008";""
"61924";"E74010009-NEGRO";"0";"2000|E74010009-NEGRO";"E74010009-NEGRO";"E74010009-NEGRO";"yolo";"CMCL";"E";"176";"181";"0";"2000";"PMP900000010009";""
